"STABR","VISITS","REGBOR","year","value","region"
"AK",3510457,350458,2006,10.0167694845031,"alaska"
"AL",14363581,2216319,2006,6.48082744406378,"alabama"
"AR",9042394,1317288,2006,6.86440171018031,"arkansas"
"AZ",22664406,3529760,2006,6.42094816644758,"arizona"
"CA",152326008,21186840,2006,7.18965206703784,"california"
"CO",28428202,2810355,2006,10.1155199254187,"colorado"
"CT",22828907,2048143,2006,11.1461489749495,"connecticut"
"DC",1820739,-1,2006,-1820739,"district of columbia"
"DE",4273303,460898,2006,9.2716891806864,"delaware"
"FL",75941406,9407370,2006,8.07254376090236,"florida"
"GA",31952301,3487257,2006,9.16258853305047,"georgia"
"HI",5278260,773212,2006,6.82640724665422,"hawaii"
"IA",17199816,1898758,2006,9.05845610657072,"iowa"
"ID",7646115,583063,2006,13.1137029789234,"idaho"
"IL",67737324,6372416,2006,10.6297711888238,"illinois"
"IN",38827856,3695130,2006,10.5078457320852,"indiana"
"KS",15361065,1842328,2006,8.33785569127756,"kansas"
"KY",16727761,2103028,2006,7.9541313762822,"kentucky"
"LA",13270826,2561410,2006,5.181062774019,"louisiana"
"MA",38935027,6546234,2006,5.94769863099914,"massachusetts"
"MD",28575298,3052335,2006,9.36178302840285,"maryland"
"ME",6711799,781727,2006,8.58586053699054,"maine"
"MI",50241855,4736748,2006,10.6068245555812,"michigan"
"MN",27705518,3617839,2006,7.65802955852928,"minnesota"
"MO",25798533,2949097,2006,8.74794318396445,"missouri"
"MS",7907318,1465383,2006,5.39607597467693,"mississippi"
"MT",4057664,414561,2006,9.78785751674663,"montana"
"NC",33865147,4521524,2006,7.48976384953392,"north carolina"
"ND",2682984,-1,2006,-2682984,"north dakota"
"NE",9180045,969282,2006,9.4709743913536,"nebraska"
"NH",6602867,641464,2006,10.2934334584638,"new hampshire"
"NJ",46213909,4226179,2006,10.9351518239052,"new jersey"
"NM",6934346,1288327,2006,5.382442501011,"new mexico"
"NV",10260257,1038102,2006,9.88366942747437,"nevada"
"NY",109985850,11020966,2006,9.97969234275834,"new york"
"OH",86257938,7939462,2006,10.8644563069891,"ohio"
"OK",13611786,1759437,2006,7.73644410115281,"oklahoma"
"OR",20515441,1929817,2006,10.6307701714722,"oregon"
"PA",46032568,5776087,2006,7.9695073844975,"pennsylvania"
"RI",6313401,554653,2006,11.3826139946958,"rhode island"
"SC",15213988,2342368,2006,6.49513142256042,"south carolina"
"SD",3739704,345995,2006,10.8085492564921,"south dakota"
"TN",18816444,2776391,2006,6.77730334091992,"tennessee"
"TX",69196449,10058142,2006,6.87964526649156,"texas"
"UT",17349960,1589350,2006,10.9163872023154,"utah"
"VA",35798979,4275706,2006,8.37264746453568,"virginia"
"VT",3795890,312713,2006,12.1385743477246,"vermont"
"WA",39608001,3969741,2006,9.97747737194945,"washington"
"WI",33926372,3350265,2006,10.126474174431,"wisconsin"
"WV",6089422,707151,2006,8.61120467905723,"west virginia"
"WY",3246597,324249,2006,10.012666191723,"wyoming"
"AK",3432380,379206,2007,9.05149180129006,"alaska"
"AL",15305968,2237928,2007,6.83934782530984,"alabama"
"AR",9405280,1411495,2007,6.663346310118,"arkansas"
"AZ",24754129,3647405,2007,6.78677827112701,"arizona"
"CA",159251887,20620793,2007,7.72287889219391,"california"
"CO",28943009,2629087,2007,11.0087680628294,"colorado"
"CT",22894632,2023522,2007,11.314249116145,"connecticut"
"DC",2144005,-1,2007,-2144005,"district of columbia"
"DE",4416781,918906,2007,4.80656454523096,"delaware"
"FL",78933826,9869456,2007,7.99778893588461,"florida"
"GA",35703912,3589158,2007,9.94771252756217,"georgia"
"HI",5729828,824708,2007,6.94770512714803,"hawaii"
"IA",17871809,1980599,2007,9.02343634425747,"iowa"
"ID",7938966,678711,2007,11.6971229286103,"idaho"
"IL",75078913,5334644,2007,14.0738375419241,"illinois"
"IN",39219775,3776135,2007,10.3862216260806,"indiana"
"KS",14939289,1951229,2007,7.65634838350599,"kansas"
"KY",17769379,2351193,2007,7.55760118373949,"kentucky"
"LA",14449951,2467612,2007,5.85584403058504,"louisiana"
"MA",39539172,2714225,2007,14.5673892179167,"massachusetts"
"MD",28842693,3158143,2007,9.13280145959192,"maryland"
"ME",6964104,652331,2007,10.6757213745782,"maine"
"MI",51777262,4692251,2007,11.0346317790758,"michigan"
"MN",28266377,3745988,2007,7.54577350488042,"minnesota"
"MO",27032571,3049849,2007,8.86357685249335,"missouri"
"MS",8210656,1426449,2007,5.75601090540216,"mississippi"
"MT",3934580,424188,2007,9.27555706432054,"montana"
"NC",36290362,4840822,2007,7.49673547178558,"north carolina"
"ND",2669102,294907,2007,9.05065664768893,"north dakota"
"NE",9567718,936745,2007,10.2137913733193,"nebraska"
"NH",6768569,661748,2007,10.2283180304285,"new hampshire"
"NJ",46603746,4264377,2007,10.9286177089877,"new jersey"
"NM",7141366,1173413,2007,6.08597825318111,"new mexico"
"NV",10406240,1114448,2007,9.33757339956642,"nevada"
"NY",112989000,10809009,2007,10.4532247128298,"new york"
"OH",87763535,8006979,2007,10.9608798774169,"ohio"
