"","code","region","2006","2007","2008","2009","2010","2011","2012","2013","hover"
"1","AL","alaska",10.01676948,9.051491801,8.972839174,8.606998818,7.966919627,7.902150926,7.571266254,10.02345023,"alaska <br> 2008 2008"
"2","AK","alabama",6.480827444,6.839347825,6.669091432,6.998397094,7.112742273,6.816820555,6.752376514,6.032829498,"alabama <br> 2008 2008"
"3","AZ","arkansas",6.86440171,6.66334631,6.615948251,6.986060722,6.50072445,6.861959173,6.613701717,7.031959386,"arkansas <br> 2008 2008"
"4","AR","arizona",6.420948166,6.786778271,6.916797628,7.148851853,6.798928561,7.055840981,8.217441451,8.176061938,"arizona <br> 2008 2008"
"5","CA","california",7.189652067,7.722878892,8.14564653,8.333746922,8.034762492,7.46131156,7.446351847,7.663450478,"california <br> 2008 2008"
"6","CO","colorado",10.11551993,11.00876806,11.33552213,11.77270367,11.45797449,11.78311456,9.588890349,9.317975076,"colorado <br> 2008 2008"
"7","CT","connecticut",11.14614897,11.31424912,10.97981901,12.53627281,13.60274837,13.31014565,13.71751515,13.30869262,"connecticut <br> 2008 2008"
"8","DC","district of columbia",0,0,8.89698128,9.49896455,9.319277862,8.024542001,7.920520986,7.846368972,"district of columbia <br> 2008 2008"
"9","DE","delaware",9.271689181,4.806564545,10.47247572,9.98703918,10.4494047,10.70128908,10.91902443,8.903684829,"delaware <br> 2008 2008"
"10","FL","florida",8.072543761,7.997788936,8.007373506,8.439207843,7.832120646,7.662105914,8.077877819,7.41812009,"florida <br> 2008 2008"
"11","GA","georgia",9.162588533,9.947712528,9.899631907,9.84074681,9.040210014,7.657944813,7.306239025,6.514080138,"georgia <br> 2008 2008"
"12","HI","hawaii",6.826407247,6.947705127,6.733973729,7.0652562,6.589820614,5.113027307,5.446635912,5.25073462,"hawaii <br> 2008 2008"
"13","ID","iowa",9.058456107,9.023436344,9.211828162,9.518390721,9.561168578,9.489890468,9.532337842,9.170983333,"iowa <br> 2008 2008"
"14","IL","idaho",13.11370298,11.69712293,11.79059867,11.81983741,11.04230688,10.80287641,12.04205282,11.10529114,"idaho <br> 2008 2008"
"15","IN","illinois",10.62977119,14.07383754,14.47986404,15.35692692,15.53291192,16.54014071,15.55719027,11.08411377,"illinois <br> 2008 2008"
"16","IA","indiana",10.50784573,10.38622163,10.53473263,10.68005331,10.16178246,9.690906184,10.19782674,9.833295981,"indiana <br> 2008 2008"
"17","KS","kansas",8.337855691,7.656348384,8.015572557,8.773699351,8.532661863,8.655504391,8.659731987,8.43529515,"kansas <br> 2008 2008"
"18","KY","kentucky",7.954131376,7.557601184,8.0654595,7.73363194,7.786962617,8.029537707,8.036865528,7.523066154,"kentucky <br> 2008 2008"
"19","LA","louisiana",5.181062774,5.855844031,5.898186839,6.170446469,6.392123361,6.079328119,6.446905441,6.871290583,"louisiana <br> 2008 2008"
"20","ME","massachusetts",5.947698631,14.56738922,11.49800847,11.61539248,12.25095533,12.04611806,12.44802387,12.74976205,"massachusetts <br> 2008 2008"
"21","MD","maryland",9.361783028,9.13280146,10.09467941,10.41614552,10.28879655,9.08111825,8.875788281,8.456238284,"maryland <br> 2008 2008"
